[GIN] 2026/04/10 - 00:12:00 | 200 |  150.763791ms |       127.0.0.1 | POST     "/api/user/auth/login"
[GIN] 2026/04/10 - 00:12:00 | 200 |   94.291875ms |       127.0.0.1 | GET      "/api/user/categories?type=expense"
[GIN] 2026/04/10 - 00:12:00 | 200 |  131.326667ms |       127.0.0.1 | GET      "/api/user/categories?type=income"
[GIN] 2026/04/10 - 00:12:00 | 200 |  162.883417ms |       127.0.0.1 | GET      "/api/user/ledger?month=2026-04"
[GIN] 2026/04/10 - 00:12:40 | 200 |  201.102166ms |       127.0.0.1 | POST     "/api/user/categories"
[GIN] 2026/04/10 - 00:12:40 | 200 |     98.3295ms |       127.0.0.1 | GET      "/api/user/categories?type=income"
[GIN] 2026/04/10 - 00:12:40 | 200 |  109.567375ms |       127.0.0.1 | GET      "/api/user/categories?type=expense"
[GIN] 2026/04/10 - 00:12:40 | 200 |  159.341583ms |       127.0.0.1 | GET      "/api/user/ledger?month=2026-04"
[GIN] 2026/04/10 - 00:12:56 | 200 |  206.698583ms |       127.0.0.1 | DELETE   "/api/user/categories/77"
[GIN] 2026/04/10 - 00:12:56 | 200 |     94.5715ms |       127.0.0.1 | GET      "/api/user/categories?type=expense"
[GIN] 2026/04/10 - 00:12:56 | 200 |   99.541667ms |       127.0.0.1 | GET      "/api/user/categories?type=income"
[GIN] 2026/04/10 - 00:12:56 | 200 |     147.229ms |       127.0.0.1 | GET      "/api/user/ledger?month=2026-04"
[GIN] 2026/04/10 - 00:13:34 | 200 |  157.915042ms |       127.0.0.1 | POST     "/api/user/ledger"
[GIN] 2026/04/10 - 00:13:34 | 200 |    153.4735ms |       127.0.0.1 | GET      "/api/user/ledger?month=2026-04"
[GIN] 2026/04/10 - 00:14:04 | 200 |  146.850416ms |       127.0.0.1 | POST     "/api/user/ledger"
[GIN] 2026/04/10 - 00:14:04 | 200 |  144.170959ms |       127.0.0.1 | GET      "/api/user/ledger?month=2026-04"
[GIN] 2026/04/10 - 00:14:41 | 200 |  149.054917ms |             ::1 | PUT      "/api/admin/users/1/status"
[GIN] 2026/04/10 - 00:14:41 | 200 |    137.4315ms |             ::1 | POST     "/api/user/auth/login"
[GIN] 2026/04/10 - 00:14:41 | 200 |    96.56025ms |             ::1 | GET      "/api/user/categories?type=expense"
